seed,eps,template,x0_radius,s_A,N,id_feasible,sX,id_time,coverage,coverage_train,encl,mu_sum,lp_feasible,lambda_min
4115,0.02,row,0.5,3,30,True,0.011942068834391584,0.15926699699775781,0.425,1.0,0.050181254059715984,1.0939705995009228,True,0.0390625
4138,0.02,row,0.5,3,30,True,0.011466247398364101,0.12524319799922523,0.55,1.0,0.06527366795047293,1.446157288722713,True,0.05859375
4161,0.02,row,0.5,3,30,True,0.012085944038485322,0.08435491400086903,0.7,1.0,0.0732444687728358,1.4873376637668814,True,0.09375
4000,0.02,random,0.5,3,30,True,0.00968646786065415,0.08465083700139076,0.55,1.0,0.08037354117097546,1.9221827791270287,True,0.07421875
4023,0.02,random,0.5,3,30,True,0.011605324783784525,0.08702455799721065,0.5,0.9333333333333333,0.08006799958866896,2.249556286105963,True,0.07421875
4046,0.02,random,0.5,3,30,True,0.01393421349032478,0.10905252799784648,0.35,1.0,0.06645248226178516,1.6921183151070713,True,0.0859375
4069,0.02,random,0.5,3,30,True,0.02209194796933545,0.10189734700179542,0.2,0.9666666666666667,0.07738537910590117,1.779641182001851,True,0.14453125
4092,0.02,random,0.5,3,30,True,0.009228225757093636,0.08498073600276257,0.375,1.0,0.05190033943854845,0.9054163050632753,True,0.046875
4115,0.02,random,0.5,3,30,True,0.011853483597747898,0.07966615199984517,0.3,1.0,0.058810322029378324,1.645646940050825,True,0.05078125
4138,0.02,random,0.5,3,30,True,0.01235195747274528,0.08604540599844768,0.45,0.9666666666666667,0.07772921041305872,2.1746004513706825,True,0.05859375
4161,0.02,random,0.5,3,30,True,0.01736634029073972,0.11381982199964114,0.3,1.0,0.08312895200896395,2.0209456438991626,True,0.07421875
4000,0.02,pca,0.5,3,30,False,,0.16739776599933975,,,,,,
4023,0.02,pca,0.5,3,30,True,0.009577813815213505,0.07290858999840566,0.45,0.9666666666666667,0.06374171942840486,0.5551136322506215,True,0.11328125
4046,0.02,pca,0.5,3,30,True,0.01533040784297459,0.07480862300144508,0.25,1.0,0.06281214065092158,1.1308291015733984,True,0.09765625
4069,0.02,pca,0.5,3,30,True,0.019953852511909266,0.11617503500019666,0.225,1.0,0.08335883916432724,2.184293336062879,True,0.16796875
4092,0.02,pca,0.5,3,30,True,0.007576201639882332,0.06956173299840884,0.325,0.9666666666666667,0.05459202957809486,0.5689085432225206,True,0.09375
4115,0.02,pca,0.5,3,30,True,0.011577050519046145,0.07119344899911084,0.3,0.9666666666666667,0.055637731453103786,0.9420403292259338,True,0.06640625
4138,0.02,pca,0.5,3,30,True,0.015208253706371072,0.07110851300240029,0.5,0.9666666666666667,0.07524375474987809,1.0301075073841095,True,0.13671875
4161,0.02,pca,0.5,3,30,True,0.012636610864552155,0.0752292640027008,0.4,1.0,0.06958619945539404,1.0301649298588424,True,0.09375
4000,0.05,entry,0.5,9,30,True,0.002456930214468095,0.15519086299900664,0.5,1.0,0.0716464277751637,1.6993731349035155,True,0.0546875
4023,0.05,entry,0.5,9,30,True,0.004720905798902033,0.08501888400132884,0.5,1.0,0.1032704045398946,2.9369670737318985,True,0.11328125
4046,0.05,entry,0.5,9,30,True,0.004493292853627698,0.0809428239990666,0.5,1.0,0.05850086209472949,2.1696931620957023,True,0.09375
4069,0.05,entry,0.5,9,30,True,0.014261052923703083,0.09444730899849674,0.275,1.0,0.06649709280148483,2.030110263771794,True,0.16796875
4092,0.05,entry,0.5,9,30,True,0.002573386562473551,0.08943517300212989,0.75,1.0,0.07608102210929321,2.11369216635298,True,0.08203125
4115,0.05,entry,0.5,9,30,True,0.0016649873162897086,0.07870319799985737,0.375,1.0,0.06778689045538314,2.1714328341063753,True,0.0703125
4138,0.05,entry,0.5,9,30,True,0.0022553273758904183,0.08199359800346429,0.55,1.0,0.06891377168476023,1.531417013382595,True,0.1171875
4161,0.05,entry,0.5,9,30,True,0.005323145628626835,0.09054478799953358,0.55,1.0,0.08021461199238553,1.8848902934258307,True,0.13671875
4000,0.05,row,0.5,3,30,True,0.008355975143732118,0.1069861479991232,0.475,1.0,0.1470522759192261,2.0677621488239932,True,0.203125
4023,0.05,row,0.5,3,30,True,0.004940034521691429,0.0673831739986781,0.425,1.0,0.10031205778307102,1.8479923572593666,True,0.13671875
4046,0.05,row,0.5,3,30,True,0.00524316054132452,0.07321112700083177,0.525,1.0,0.10754136337156792,2.3625222518168405,True,0.19140625
4069,0.05,row,0.5,3,30,True,0.022475292760458287,0.06767991200104007,0.125,1.0,0.08352173501035629,1.6141439587467494,True,0.2734375
4092,0.05,row,0.5,3,30,True,0.005038309880195001,0.06664273799833609,0.4,1.0,0.06889526899180184,1.40076720758874,True,0.12109375
4115,0.05,row,0.5,3,30,True,0.003896236706819592,0.11005455900158267,0.525,1.0,0.07190752308801023,1.1145715167151946,True,0.125
4138,0.05,row,0.5,3,30,True,0.00206068419865079,0.07248813000114751,0.5,1.0,0.10581716816277065,1.4033132792101586,True,0.1875
