seed,N,alpha,method,needs_w_bound,id_feasible,id_time,coverage_x1,encl_x1,coverage_x2,encl_x2,coverage_train,lp_feasible,lp_time,cl_violation,cl_worst
712,30,1.0,SMI(beta=1),True,True,0.20933155599959719,1.0,0.1134467302936352,1.0,0.16595519546624712,1.0,True,0.00852168200071901,0.0,-0.3275509892988757
712,30,1.0,SMI(beta=2),True,True,0.21333397300077195,1.0,0.3274800162262199,1.0,0.49308951399605333,1.0,True,0.008826649000184261,0.0,-0.41159131671700433
712,30,1.0,DCM,False,True,0.03705764400001499,1.0,0.09600000000477084,0.975,0.09600000000477084,1.0,True,0.008768129999225494,0.0,-0.3166292162415657
712,30,1.0,ICM,False,True,0.07433643699914683,1.0,0.09600000028944149,1.0,0.09600000050346376,1.0,True,0.008982515000752755,0.0,-0.3207321209216789
731,30,1.0,LS,False,True,0.00021018400002503768,0.0,0.0,0.0,0.0,0.0,True,0.008615114998974605,0.0,-0.34029356036612357
731,30,1.0,Tube-MPC,False,True,0.011097962000349071,0.475,0.03035876401446756,0.325,0.03035876401446756,1.0,True,0.008728466000320623,0.0,-0.3487513217248782
731,30,1.0,SMI(beta=0.5),True,False,0.012500323000494973,,,,,,,,,
731,30,1.0,SMI(beta=1),True,True,0.2088527059986518,1.0,0.09033093881399579,1.0,0.12539769517269983,1.0,True,0.008525469000232988,0.0,-0.36141884972388305
731,30,1.0,SMI(beta=2),True,True,0.20505995100029395,1.0,0.29836675226618103,1.0,0.435808733381758,1.0,True,0.009132420998867019,0.0,-0.45569604760949756
731,30,1.0,DCM,False,True,0.036188217000017175,1.0,0.09600000051060967,1.0,0.09600000051060967,1.0,True,0.008569100999011425,0.0,-0.36339895004839073
731,30,1.0,ICM,False,True,0.07538794599895482,1.0,0.09600000017367934,1.0,0.09600000029305895,1.0,True,0.008803717999398941,0.0,-0.36339745341274454
750,30,1.0,LS,False,True,0.0001971019992197398,0.0,0.0,0.0,0.0,0.0,True,0.00861493199954566,0.0,-0.33075144305263526
750,30,1.0,Tube-MPC,False,True,0.010876828999244026,0.275,0.025687778623329972,0.15,0.025687778623329972,1.0,True,0.008411238999542547,0.0,-0.33793787560888067
750,30,1.0,SMI(beta=0.5),True,False,0.013650509999934002,,,,,,,,,
750,30,1.0,SMI(beta=1),True,True,0.2306987449992448,1.0,0.11760510051875128,1.0,0.1821028243331601,1.0,True,0.009188631000142777,0.0,-0.3568262672436142
750,30,1.0,SMI(beta=2),True,True,0.2160452919997624,1.0,0.34510287795002237,1.0,0.5477431880997787,1.0,True,0.009247420999599854,0.0,-0.4263561174317363
750,30,1.0,DCM,False,True,0.0366835370004992,1.0,0.09600000018155487,1.0,0.09600000018155487,1.0,True,0.008596985000622226,0.0,-0.3028902436787537
750,30,1.0,ICM,False,True,0.12161505400035821,1.0,0.0960000007489843,1.0,0.09600000137063795,1.0,True,0.008359597999515245,0.0,-0.30488222151858424
769,30,1.0,LS,False,True,0.0001878990005934611,0.0,0.0,0.0,0.0,0.0,True,0.010223986999335466,0.0,-0.2579605863751947
769,30,1.0,Tube-MPC,False,True,0.010911821998888627,0.5,0.02905523847788729,0.225,0.02905523847788729,1.0,True,0.008895425000446266,0.0,-0.26797321822786857
769,30,1.0,SMI(beta=0.5),True,False,0.014489787001366494,,,,,,,,,
769,30,1.0,SMI(beta=1),True,True,0.20843383600004017,1.0,0.10297206651059065,1.0,0.15066098218416257,1.0,True,0.009592059999704361,0.0,-0.2937949428180946
769,30,1.0,SMI(beta=2),True,True,0.20671049799966568,1.0,0.3129740565399047,1.0,0.4672051975421893,1.0,True,0.008360627000001841,0.0,-0.38947280016729646
769,30,1.0,DCM,False,True,0.03775381599916727,1.0,0.09600000020454363,0.975,0.09600000020454363,1.0,True,0.008343723000507453,0.0,-0.2861474064188235
769,30,1.0,ICM,False,True,0.09175758499986841,1.0,0.09600000007042113,1.0,0.09600000012382039,1.0,True,0.010486766999747488,0.0,-0.28381516378505933
788,30,1.0,LS,False,True,0.0002364510000916198,0.0,0.0,0.0,0.0,0.0,True,0.008466606999718351,0.0,-0.3113059477183304
788,30,1.0,Tube-MPC,False,True,0.013015824999456527,0.5,0.02948625079569317,0.275,0.02948625079569317,1.0,True,0.008105568000246421,0.0,-0.3182875510178024
788,30,1.0,SMI(beta=0.5),True,False,0.012906451000162633,,,,,,,,,
788,30,1.0,SMI(beta=1),True,True,0.20967452700097056,1.0,0.12798426508314034,1.0,0.19573899162839464,1.0,True,0.00891212599890423,0.0,-0.3586085456037229
788,30,1.0,SMI(beta=2),True,True,0.2110405540006468,1.0,0.38686550755495946,1.0,0.6110661840144038,1.0,True,0.008815657000013744,0.0,-0.4488641640695551
788,30,1.0,DCM,False,True,0.036650711999755003,1.0,0.09600000003146952,1.0,0.09600000003146952,1.0,True,0.008416917000431567,0.0,-0.33816143344224914
788,30,1.0,ICM,False,True,0.07781714500015369,1.0,0.09600000009576706,1.0,0.09600000017058816,1.0,True,0.008565394000470405,0.0,-0.33541565441994137
807,30,1.0,LS,False,True,0.0001872630000434583,0.0,0.0,0.0,0.0,0.0,True,0.008164459000909119,0.0,-0.24754216255062567
807,30,1.0,Tube-MPC,False,True,0.0104651540004852,0.725,0.030399676818702516,0.575,0.030399676818702516,1.0,True,0.008653294999021455,0.0,-0.25272970115466353
807,30,1.0,SMI(beta=0.5),True,False,0.011435927999627893,,,,,,,,,
807,30,1.0,SMI(beta=1),True,True,0.21707305699965218,1.0,0.06981263130117817,1.0,0.09390663208767909,1.0,True,0.008306383999297395,0.0,-0.31786633105967843
807,30,1.0,SMI(beta=2),True,True,0.20779994500117027,1.0,0.26332036964965827,1.0,0.38206197033275996,1.0,True,0.010246043000734062,0.0,-0.3675099537695393
