seed,alpha,N,method,id_feasible,sX,id_time,n_var,coverage_train,coverage_x1,encl_x1,coverage_x2,encl_x2,coverage_x3,encl_x3,src_state,src_input,src_additive,repr_gap,center_err,muA_mass,muB_mass,muw_mass,lambda_min,gamma
3274,3.0,10,ICM,True,0.02306556686325099,0.05369910700028413,433,1.0,0.125,0.05210117650948185,0.075,0.05210117814851419,0.05,0.052101179787546525,1.6390323338433927e-09,7.876024188482676e-10,0.052101174082847104,2.5652236710050365,0.017334825304229085,4.900876650356705e-08,4.2848860389414335e-08,0.6512646760355888,0.02734375,8.0
3291,3.0,10,DCM,True,0.02538698267411166,0.027942044999690552,55,1.0,0.05,0.04800000005824835,0.0,0.04800000005824835,0.0,0.04800000005824835,0.0,0.0,0.04800000005824835,6.271815553401312,0.05252229512958115,0.0,0.0,0.6000000007281043,0.03515625,8.0
3291,3.0,10,ICM-noSI,True,0.025386982735169917,0.059316095000212954,253,1.0,0.05,0.04800000003065951,0.0,0.048000000050639535,0.0,0.04800000007061956,1.9980025653283318e-11,9.195975489236994e-12,0.04800000000148351,6.202732166698153,0.04979959330770893,7.288955110844098e-10,7.256691564631557e-10,0.6000000000185438,0.03515625,8.0
3291,3.0,10,ICM,True,0.031098689996448107,0.04979224799990334,433,1.0,0.175,0.05934315519789004,0.075,0.05934315799347366,0.025,0.059343160789057284,2.7955836171442516e-09,0.0014806658725378694,0.05786248652976855,2.6642406122035243,0.03946886725138987,8.137299959285561e-08,0.039506291239212545,0.7232810816221069,0.03515625,8.0
3308,3.0,10,DCM,True,0.026666665553629194,0.029047406000245246,55,1.0,0.0,0.048646526364740185,0.025,0.048646526364740185,0.025,0.048646526364740185,0.0,0.0,0.048646526364740185,6.622917806752075,0.09367442712304089,0.0,0.0,0.6080815795592523,0.02734375,8.0
3308,3.0,10,ICM-noSI,True,0.026666665982925837,0.04364548900002774,253,1.0,0.0,0.04864652677263387,0.025,0.04864652778639955,0.025,0.04864652880016523,1.013765678325561e-09,6.781986608044227e-10,0.048646525080669537,6.622919450444317,0.09367444311560953,5.133488130149723e-08,4.9996622616867394e-08,0.6080815635083692,0.02734375,8.0
3308,3.0,10,ICM,True,0.02666666661198584,0.12602937400015435,433,1.0,0.2,0.058614898414758664,0.075,0.059469120320031064,0.05,0.06032334222530348,0.0008542219052724077,8.167605975649779e-11,0.0577606764278102,2.1103706937003657,0.03392251925791123,0.01911162414825614,5.369287600301736e-09,0.7220084553476274,0.0234375,8.0
3325,3.0,10,DCM,True,0.02474827924926496,0.04264751399978195,55,1.0,0.075,0.0546722512524007,0.05,0.0546722512524007,0.05,0.0546722512524007,0.0,0.0,0.0546722512524007,4.513666490390463,0.05823053847984616,0.0,0.0,0.6834031406550087,0.0234375,8.0
3325,3.0,10,ICM-noSI,True,0.02474827936360313,0.08483324799999536,253,1.0,0.05,0.05429389276123242,0.05,0.05472401974887033,0.05,0.05515414673650827,0.0004301269876379207,2.1923655507588756e-11,0.053863765751670845,4.447064723962288,0.05865978762520685,0.008502557829559408,1.2139525127747455e-09,0.6732970718958855,0.0234375,8.0
3325,3.0,10,ICM,True,0.0341818465352261,0.17223250100005316,433,1.0,0.275,0.06761092912469552,0.125,0.0676109296254902,0.1,0.0676109301262849,5.007946857009526e-10,1.0858110407818815e-10,0.06761092851531973,2.318302250802837,0.031013509526091387,1.3855739387131725e-08,6.009173287026049e-09,0.8451366064414965,0.02734375,8.0
3342,3.0,10,DCM,True,0.028105696204374624,0.05192001400018853,55,1.0,0.075,0.052986978788039166,0.05,0.052986978788039166,0.05,0.052986978788039166,0.0,0.0,0.052986978788039166,7.667006706508694,0.07132569794517363,0.0,0.0,0.6623372348504895,0.0234375,8.0
3342,3.0,10,ICM-noSI,True,0.028105696798025808,0.07304420200034656,253,1.0,0.075,0.05298697523071929,0.05,0.05298697526470732,0.05,0.052986975298695324,3.398801843808955e-11,1.5226242006747303e-11,0.05298697518150504,7.667006830567405,0.07132569264565347,1.0529357505665755e-09,9.427260495826457e-10,0.6623371897688128,0.0234375,8.0
3342,3.0,10,ICM,True,0.02883913536770137,0.2548051230000965,433,1.0,0.1,0.06791477672541225,0.075,0.08167723563026738,0.05,0.09543969453512251,0.013762458904855132,5.927680680845291e-09,0.05415231189287645,4.270891211089041,0.02337212834635935,0.23144471386838456,1.684661709877903e-07,0.6769038986609555,0.046875,8.0
3359,3.0,10,DCM,True,0.031780313203967514,0.04543135499989148,55,1.0,0.1,0.05106818799879918,0.025,0.05106818799879918,0.025,0.05106818799879918,0.0,0.0,0.05106818799879918,3.5975710024819474,0.04202133934693708,0.0,0.0,0.6383523499849898,0.03125,8.0
